Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_3,Chrome 125.0.0.0,,,29-05-2024 20:45:05,29-05-2024 20:45:46,40.434s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Visual Testing,Chrome 125.0.0.0,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,29-05-2024 20:45:06,29-05-2024 20:45:22,15.631s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 125.0.0.0,,,29-05-2024 20:45:06,29-05-2024 20:45:06,0.121s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 125.0.0.0,,,29-05-2024 20:45:06,29-05-2024 20:45:06,0.007s,PASSED
openBrowser(G_SiteURL),Chrome 125.0.0.0,,,29-05-2024 20:45:06,29-05-2024 20:45:15,8.719s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,29-05-2024 20:45:15,29-05-2024 20:45:15,0.066s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 125.0.0.0,,,29-05-2024 20:45:15,29-05-2024 20:45:16,1.032s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 125.0.0.0,,,29-05-2024 20:45:16,29-05-2024 20:45:17,0.894s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 125.0.0.0,,,29-05-2024 20:45:17,29-05-2024 20:45:18,0.697s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 125.0.0.0,,,29-05-2024 20:45:18,29-05-2024 20:45:19,0.664s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 125.0.0.0,,,29-05-2024 20:45:19,29-05-2024 20:45:19,0.707s,PASSED
"comment(""When he logins to CURA system"")",Chrome 125.0.0.0,,,29-05-2024 20:45:19,29-05-2024 20:45:19,0.005s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 125.0.0.0,,,29-05-2024 20:45:19,29-05-2024 20:45:20,0.982s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 125.0.0.0,,,29-05-2024 20:45:20,29-05-2024 20:45:20,0.006s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 125.0.0.0,,,29-05-2024 20:45:20,29-05-2024 20:45:21,0.459s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 20:45:21,29-05-2024 20:45:21,0.280s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 125.0.0.0,,,29-05-2024 20:45:21,29-05-2024 20:45:22,0.537s,PASSED
,,,,,,,
