Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_5,Chrome 125.0.0.0,,,29-05-2024 20:49:41,29-05-2024 20:50:36,54.624s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Visual Testing - Copy - Copy,Chrome 125.0.0.0,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,29-05-2024 20:49:41,29-05-2024 20:50:10,28.810s,PASSED
"comment(""Story: Book an appointment"")",Chrome 125.0.0.0,,,29-05-2024 20:49:43,29-05-2024 20:49:43,0.310s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 125.0.0.0,,,29-05-2024 20:49:43,29-05-2024 20:49:43,0.012s,PASSED
openBrowser(G_SiteURL),Chrome 125.0.0.0,,,29-05-2024 20:49:43,29-05-2024 20:49:53,9.459s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,29-05-2024 20:49:53,29-05-2024 20:49:53,0.081s,PASSED
"callTestCase(findTestCase(""Common Test Cases/Login""), [""Username"":""John Doe"", ""Password"":""ThisIsNotAPassword""], STOP_ON_FAILURE)",Chrome 125.0.0.0,,,29-05-2024 20:49:53,29-05-2024 20:49:57,4.268s,PASSED
"comment(""And Appointment page is displayed"")",Chrome 125.0.0.0,,,29-05-2024 20:49:57,29-05-2024 20:49:57,0.004s,PASSED
"takeElementScreenshotAsCheckpoint(""Appointment Dialog Origin"", AppointmentDialogObject)",Chrome 125.0.0.0,,,29-05-2024 20:49:57,29-05-2024 20:49:58,0.947s,PASSED
"selectOptionByLabel(findTestObject(""Page_CuraAppointment/lst_Facility""), ""Hongkong CURA Healthcare Center"", false)",Chrome 125.0.0.0,,,29-05-2024 20:49:58,29-05-2024 20:49:58,0.640s,PASSED
"takeElementScreenshotAsCheckpoint(""Facilty"", FacilityObject)",Chrome 125.0.0.0,,,29-05-2024 20:49:58,29-05-2024 20:49:59,0.746s,PASSED
"check(findTestObject(""Page_CuraAppointment/chk_Medicaid""))",Chrome 125.0.0.0,,,29-05-2024 20:49:59,29-05-2024 20:50:00,0.432s,PASSED
"takeElementScreenshotAsCheckpoint(""Medicare"", MedicareChoicesObject)",Chrome 125.0.0.0,,,29-05-2024 20:50:00,29-05-2024 20:50:00,0.707s,PASSED
"check(findTestObject(""Page_CuraAppointment/chk_Readmission""))",Chrome 125.0.0.0,,,29-05-2024 20:50:00,29-05-2024 20:50:01,0.362s,PASSED
"setText(findTestObject(""Page_CuraAppointment/txt_VisitDate""), ""27/12/2016"")",Chrome 125.0.0.0,,,29-05-2024 20:50:01,29-05-2024 20:50:01,0.722s,PASSED
click(CommentLabelObject),Chrome 125.0.0.0,,,29-05-2024 20:50:01,29-05-2024 20:50:02,0.526s,PASSED
"takeElementScreenshotAsCheckpoint(""Visit Date"", DateObject)",Chrome 125.0.0.0,,,29-05-2024 20:50:02,29-05-2024 20:50:03,0.857s,PASSED
"setText(findTestObject(""Page_CuraAppointment/txt_Comment""), ""Please make appointment as soon as possible."")",Chrome 125.0.0.0,,,29-05-2024 20:50:03,29-05-2024 20:50:04,0.674s,PASSED
"comment(""When he fills in valid information in Appointment page"")",Chrome 125.0.0.0,,,29-05-2024 20:50:04,29-05-2024 20:50:04,0.003s,PASSED
if (Random().nextBoolean()),Chrome 125.0.0.0,,,29-05-2024 20:50:04,29-05-2024 20:50:04,0.011s,PASSED
"takeElementScreenshotAsCheckpoint(""Appointment Dialog With Data"", AppointmentDialogObject)",Chrome 125.0.0.0,,,29-05-2024 20:50:04,29-05-2024 20:50:04,0.743s,PASSED
"click(findTestObject(""Page_CuraAppointment/btn_BookAppointment""))",Chrome 125.0.0.0,,,29-05-2024 20:50:04,29-05-2024 20:50:05,0.690s,PASSED
"takeFullPageScreenshotAsCheckpoint(""Review Appoitment"")",Chrome 125.0.0.0,,,29-05-2024 20:50:05,29-05-2024 20:50:07,2.490s,PASSED
"verifyTextPresent(""Appointment Confirmation"", false)",Chrome 125.0.0.0,,,29-05-2024 20:50:07,29-05-2024 20:50:08,0.301s,PASSED
"comment(""Then he should be able to book a new appointment"")",Chrome 125.0.0.0,,,29-05-2024 20:50:08,29-05-2024 20:50:08,0.003s,PASSED
"verifyMatch(""Hongkong CURA Healthcare Center"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_Facility"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:50:08,29-05-2024 20:50:08,0.318s,PASSED
"verifyMatch(""Yes"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_HospitalReadmission"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:50:08,29-05-2024 20:50:08,0.303s,PASSED
"verifyMatch(""Medicaid"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_Program"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:50:08,29-05-2024 20:50:09,0.298s,PASSED
"verifyMatch(""27/12/2016"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_VisitDate"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:50:09,29-05-2024 20:50:09,0.293s,PASSED
"verifyMatch(""Please make appointment as soon as possible."", getText(findTestObject(""Page_AppointmentConfirmation/lbl_Comment"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:50:09,29-05-2024 20:50:09,0.297s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 20:50:09,29-05-2024 20:50:10,0.282s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 125.0.0.0,,,29-05-2024 20:50:10,29-05-2024 20:50:10,0.717s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Visual Testing - Copy (2),Chrome 125.0.0.0,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,29-05-2024 20:50:10,29-05-2024 20:50:36,25.297s,PASSED
"comment(""Story: Book an appointment"")",Chrome 125.0.0.0,,,29-05-2024 20:50:11,29-05-2024 20:50:11,0.005s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 125.0.0.0,,,29-05-2024 20:50:11,29-05-2024 20:50:11,0.003s,PASSED
openBrowser(G_SiteURL),Chrome 125.0.0.0,,,29-05-2024 20:50:11,29-05-2024 20:50:17,6.820s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,29-05-2024 20:50:17,29-05-2024 20:50:18,0.108s,PASSED
"callTestCase(findTestCase(""Common Test Cases/Login""), [""Username"":""John Doe"", ""Password"":""ThisIsNotAPassword""], STOP_ON_FAILURE)",Chrome 125.0.0.0,,,29-05-2024 20:50:18,29-05-2024 20:50:22,4.565s,PASSED
"comment(""And Appointment page is displayed"")",Chrome 125.0.0.0,,,29-05-2024 20:50:22,29-05-2024 20:50:22,0.002s,PASSED
"takeElementScreenshotAsCheckpoint(""Appointment Dialog Origin"", AppointmentDialogObject)",Chrome 125.0.0.0,,,29-05-2024 20:50:22,29-05-2024 20:50:23,0.898s,PASSED
"selectOptionByLabel(findTestObject(""Page_CuraAppointment/lst_Facility""), ""Hongkong CURA Healthcare Center"", false)",Chrome 125.0.0.0,,,29-05-2024 20:50:23,29-05-2024 20:50:24,0.678s,PASSED
"takeElementScreenshotAsCheckpoint(""Facilty"", FacilityObject)",Chrome 125.0.0.0,,,29-05-2024 20:50:24,29-05-2024 20:50:25,0.814s,PASSED
"check(findTestObject(""Page_CuraAppointment/chk_Medicaid""))",Chrome 125.0.0.0,,,29-05-2024 20:50:25,29-05-2024 20:50:25,0.406s,PASSED
"takeElementScreenshotAsCheckpoint(""Medicare"", MedicareChoicesObject)",Chrome 125.0.0.0,,,29-05-2024 20:50:25,29-05-2024 20:50:26,0.663s,PASSED
"check(findTestObject(""Page_CuraAppointment/chk_Readmission""))",Chrome 125.0.0.0,,,29-05-2024 20:50:26,29-05-2024 20:50:26,0.354s,PASSED
"setText(findTestObject(""Page_CuraAppointment/txt_VisitDate""), ""27/12/2016"")",Chrome 125.0.0.0,,,29-05-2024 20:50:26,29-05-2024 20:50:27,0.732s,PASSED
click(CommentLabelObject),Chrome 125.0.0.0,,,29-05-2024 20:50:27,29-05-2024 20:50:27,0.546s,PASSED
