Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_4,Chrome 125.0.0.0,,,29-05-2024 20:46:47,29-05-2024 20:47:38,50.384s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Visual Testing - Copy (1),Chrome 125.0.0.0,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,29-05-2024 20:46:48,29-05-2024 20:47:02,14.804s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 125.0.0.0,,,29-05-2024 20:46:48,29-05-2024 20:46:48,0.127s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 125.0.0.0,,,29-05-2024 20:46:48,29-05-2024 20:46:48,0.005s,PASSED
openBrowser(G_SiteURL),Chrome 125.0.0.0,,,29-05-2024 20:46:48,29-05-2024 20:46:57,8.395s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,29-05-2024 20:46:57,29-05-2024 20:46:57,0.052s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 125.0.0.0,,,29-05-2024 20:46:57,29-05-2024 20:46:57,0.784s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 125.0.0.0,,,29-05-2024 20:46:57,29-05-2024 20:46:58,0.893s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 125.0.0.0,,,29-05-2024 20:46:58,29-05-2024 20:46:59,0.674s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 125.0.0.0,,,29-05-2024 20:46:59,29-05-2024 20:47:00,0.635s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 125.0.0.0,,,29-05-2024 20:47:00,29-05-2024 20:47:00,0.629s,PASSED
"comment(""When he logins to CURA system"")",Chrome 125.0.0.0,,,29-05-2024 20:47:00,29-05-2024 20:47:00,0.005s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 125.0.0.0,,,29-05-2024 20:47:00,29-05-2024 20:47:01,0.900s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 125.0.0.0,,,29-05-2024 20:47:01,29-05-2024 20:47:01,0.003s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 125.0.0.0,,,29-05-2024 20:47:01,29-05-2024 20:47:02,0.445s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 20:47:02,29-05-2024 20:47:02,0.247s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 125.0.0.0,,,29-05-2024 20:47:02,29-05-2024 20:47:02,0.560s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Visual Testing - Copy - Copy (1),Chrome 125.0.0.0,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,29-05-2024 20:47:02,29-05-2024 20:47:38,35.215s,PASSED
"comment(""Story: Book an appointment"")",Chrome 125.0.0.0,,,29-05-2024 20:47:03,29-05-2024 20:47:03,0.003s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 125.0.0.0,,,29-05-2024 20:47:03,29-05-2024 20:47:03,0.003s,PASSED
openBrowser(G_SiteURL),Chrome 125.0.0.0,,,29-05-2024 20:47:03,29-05-2024 20:47:10,7.406s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,29-05-2024 20:47:10,29-05-2024 20:47:10,0.047s,PASSED
"callTestCase(findTestCase(""Common Test Cases/Login""), [""Username"":""John Doe"", ""Password"":""ThisIsNotAPassword""], STOP_ON_FAILURE)",Chrome 125.0.0.0,,,29-05-2024 20:47:10,29-05-2024 20:47:23,12.678s,PASSED
"comment(""And Appointment page is displayed"")",Chrome 125.0.0.0,,,29-05-2024 20:47:23,29-05-2024 20:47:23,0.005s,PASSED
"takeElementScreenshotAsCheckpoint(""Appointment Dialog Origin"", AppointmentDialogObject)",Chrome 125.0.0.0,,,29-05-2024 20:47:23,29-05-2024 20:47:26,2.833s,PASSED
"selectOptionByLabel(findTestObject(""Page_CuraAppointment/lst_Facility""), ""Hongkong CURA Healthcare Center"", false)",Chrome 125.0.0.0,,,29-05-2024 20:47:26,29-05-2024 20:47:26,0.628s,PASSED
"takeElementScreenshotAsCheckpoint(""Facilty"", FacilityObject)",Chrome 125.0.0.0,,,29-05-2024 20:47:26,29-05-2024 20:47:27,0.692s,PASSED
"check(findTestObject(""Page_CuraAppointment/chk_Medicaid""))",Chrome 125.0.0.0,,,29-05-2024 20:47:27,29-05-2024 20:47:27,0.340s,PASSED
"takeElementScreenshotAsCheckpoint(""Medicare"", MedicareChoicesObject)",Chrome 125.0.0.0,,,29-05-2024 20:47:27,29-05-2024 20:47:28,0.610s,PASSED
"check(findTestObject(""Page_CuraAppointment/chk_Readmission""))",Chrome 125.0.0.0,,,29-05-2024 20:47:28,29-05-2024 20:47:28,0.321s,PASSED
