Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_9,Chrome 125.0.0.0,,,29-05-2024 20:56:52,29-05-2024 20:57:47,54.560s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Visual Testing - Copy,Chrome 125.0.0.0,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,29-05-2024 20:56:53,29-05-2024 20:57:22,29.232s,PASSED
"comment(""Story: Book an appointment"")",Chrome 125.0.0.0,,,29-05-2024 20:56:54,29-05-2024 20:56:54,0.128s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 125.0.0.0,,,29-05-2024 20:56:54,29-05-2024 20:56:54,0.009s,PASSED
openBrowser(G_SiteURL),Chrome 125.0.0.0,,,29-05-2024 20:56:54,29-05-2024 20:57:03,8.604s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,29-05-2024 20:57:03,29-05-2024 20:57:03,0.064s,PASSED
"callTestCase(findTestCase(""Common Test Cases/Login""), [""Username"":""John Doe"", ""Password"":""ThisIsNotAPassword""], STOP_ON_FAILURE)",Chrome 125.0.0.0,,,29-05-2024 20:57:03,29-05-2024 20:57:07,4.322s,PASSED
"comment(""And Appointment page is displayed"")",Chrome 125.0.0.0,,,29-05-2024 20:57:07,29-05-2024 20:57:07,0.006s,PASSED
"takeElementScreenshotAsCheckpoint(""Appointment Dialog Origin"", AppointmentDialogObject)",Chrome 125.0.0.0,,,29-05-2024 20:57:07,29-05-2024 20:57:08,1.198s,PASSED
"selectOptionByLabel(findTestObject(""Page_CuraAppointment/lst_Facility""), ""Hongkong CURA Healthcare Center"", false)",Chrome 125.0.0.0,,,29-05-2024 20:57:08,29-05-2024 20:57:09,0.669s,PASSED
"takeElementScreenshotAsCheckpoint(""Facilty"", FacilityObject)",Chrome 125.0.0.0,,,29-05-2024 20:57:09,29-05-2024 20:57:10,0.722s,PASSED
"check(findTestObject(""Page_CuraAppointment/chk_Medicaid""))",Chrome 125.0.0.0,,,29-05-2024 20:57:10,29-05-2024 20:57:10,0.369s,PASSED
"takeElementScreenshotAsCheckpoint(""Medicare"", MedicareChoicesObject)",Chrome 125.0.0.0,,,29-05-2024 20:57:10,29-05-2024 20:57:11,0.700s,PASSED
"check(findTestObject(""Page_CuraAppointment/chk_Readmission""))",Chrome 125.0.0.0,,,29-05-2024 20:57:11,29-05-2024 20:57:11,0.366s,PASSED
"setText(findTestObject(""Page_CuraAppointment/txt_VisitDate""), ""27/12/2016"")",Chrome 125.0.0.0,,,29-05-2024 20:57:11,29-05-2024 20:57:12,0.754s,PASSED
click(CommentLabelObject),Chrome 125.0.0.0,,,29-05-2024 20:57:12,29-05-2024 20:57:13,0.560s,PASSED
"takeElementScreenshotAsCheckpoint(""Visit Date"", DateObject)",Chrome 125.0.0.0,,,29-05-2024 20:57:13,29-05-2024 20:57:14,1.010s,PASSED
"setText(findTestObject(""Page_CuraAppointment/txt_Comment""), ""Please make appointment as soon as possible."")",Chrome 125.0.0.0,,,29-05-2024 20:57:14,29-05-2024 20:57:14,0.721s,PASSED
"comment(""When he fills in valid information in Appointment page"")",Chrome 125.0.0.0,,,29-05-2024 20:57:14,29-05-2024 20:57:14,0.006s,PASSED
if (Random().nextBoolean()),Chrome 125.0.0.0,,,29-05-2024 20:57:14,29-05-2024 20:57:14,0.014s,PASSED
"takeElementScreenshotAsCheckpoint(""Appointment Dialog With Data"", AppointmentDialogObject)",Chrome 125.0.0.0,,,29-05-2024 20:57:14,29-05-2024 20:57:15,0.927s,PASSED
"click(findTestObject(""Page_CuraAppointment/btn_BookAppointment""))",Chrome 125.0.0.0,,,29-05-2024 20:57:15,29-05-2024 20:57:16,0.738s,PASSED
"takeFullPageScreenshotAsCheckpoint(""Review Appoitment"")",Chrome 125.0.0.0,,,29-05-2024 20:57:16,29-05-2024 20:57:19,3.159s,PASSED
"verifyTextPresent(""Appointment Confirmation"", false)",Chrome 125.0.0.0,,,29-05-2024 20:57:19,29-05-2024 20:57:19,0.303s,PASSED
"comment(""Then he should be able to book a new appointment"")",Chrome 125.0.0.0,,,29-05-2024 20:57:19,29-05-2024 20:57:19,0.004s,PASSED
"verifyMatch(""Hongkong CURA Healthcare Center"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_Facility"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:57:19,29-05-2024 20:57:20,0.367s,PASSED
"verifyMatch(""Yes"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_HospitalReadmission"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:57:20,29-05-2024 20:57:20,0.371s,PASSED
"verifyMatch(""Medicaid"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_Program"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:57:20,29-05-2024 20:57:21,0.366s,PASSED
"verifyMatch(""27/12/2016"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_VisitDate"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:57:21,29-05-2024 20:57:21,0.316s,PASSED
"verifyMatch(""Please make appointment as soon as possible."", getText(findTestObject(""Page_AppointmentConfirmation/lbl_Comment"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:57:21,29-05-2024 20:57:21,0.317s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 20:57:21,29-05-2024 20:57:21,0.265s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 125.0.0.0,,,29-05-2024 20:57:21,29-05-2024 20:57:22,0.640s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Visual Testing - Copy (1),Chrome 125.0.0.0,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,29-05-2024 20:57:22,29-05-2024 20:57:47,24.683s,PASSED
"comment(""Story: Book an appointment"")",Chrome 125.0.0.0,,,29-05-2024 20:57:22,29-05-2024 20:57:22,0.005s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 125.0.0.0,,,29-05-2024 20:57:22,29-05-2024 20:57:22,0.004s,PASSED
openBrowser(G_SiteURL),Chrome 125.0.0.0,,,29-05-2024 20:57:22,29-05-2024 20:57:30,7.387s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,29-05-2024 20:57:30,29-05-2024 20:57:30,0.046s,PASSED
"callTestCase(findTestCase(""Common Test Cases/Login""), [""Username"":""John Doe"", ""Password"":""ThisIsNotAPassword""], STOP_ON_FAILURE)",Chrome 125.0.0.0,,,29-05-2024 20:57:30,29-05-2024 20:57:34,3.777s,PASSED
"comment(""And Appointment page is displayed"")",Chrome 125.0.0.0,,,29-05-2024 20:57:34,29-05-2024 20:57:34,0.001s,PASSED
"takeElementScreenshotAsCheckpoint(""Appointment Dialog Origin"", AppointmentDialogObject)",Chrome 125.0.0.0,,,29-05-2024 20:57:34,29-05-2024 20:57:34,0.893s,PASSED
"selectOptionByLabel(findTestObject(""Page_CuraAppointment/lst_Facility""), ""Hongkong CURA Healthcare Center"", false)",Chrome 125.0.0.0,,,29-05-2024 20:57:34,29-05-2024 20:57:35,0.629s,PASSED
"takeElementScreenshotAsCheckpoint(""Facilty"", FacilityObject)",Chrome 125.0.0.0,,,29-05-2024 20:57:35,29-05-2024 20:57:36,0.660s,PASSED
"check(findTestObject(""Page_CuraAppointment/chk_Medicaid""))",Chrome 125.0.0.0,,,29-05-2024 20:57:36,29-05-2024 20:57:36,0.396s,PASSED
"takeElementScreenshotAsCheckpoint(""Medicare"", MedicareChoicesObject)",Chrome 125.0.0.0,,,29-05-2024 20:57:36,29-05-2024 20:57:37,0.629s,PASSED
"check(findTestObject(""Page_CuraAppointment/chk_Readmission""))",Chrome 125.0.0.0,,,29-05-2024 20:57:37,29-05-2024 20:57:37,0.341s,PASSED
"setText(findTestObject(""Page_CuraAppointment/txt_VisitDate""), ""27/12/2016"")",Chrome 125.0.0.0,,,29-05-2024 20:57:37,29-05-2024 20:57:38,0.678s,PASSED
click(CommentLabelObject),Chrome 125.0.0.0,,,29-05-2024 20:57:38,29-05-2024 20:57:38,0.515s,PASSED
"takeElementScreenshotAsCheckpoint(""Visit Date"", DateObject)",Chrome 125.0.0.0,,,29-05-2024 20:57:38,29-05-2024 20:57:39,0.907s,PASSED
"setText(findTestObject(""Page_CuraAppointment/txt_Comment""), ""Please make appointment as soon as possible."")",Chrome 125.0.0.0,,,29-05-2024 20:57:39,29-05-2024 20:57:40,0.678s,PASSED
"comment(""When he fills in valid information in Appointment page"")",Chrome 125.0.0.0,,,29-05-2024 20:57:40,29-05-2024 20:57:40,0.002s,PASSED
if (Random().nextBoolean()),Chrome 125.0.0.0,,,29-05-2024 20:57:40,29-05-2024 20:57:40,0.001s,PASSED
"takeElementScreenshotAsCheckpoint(""Appointment Dialog With Data"", AppointmentDialogObject)",Chrome 125.0.0.0,,,29-05-2024 20:57:40,29-05-2024 20:57:41,0.803s,PASSED
"click(findTestObject(""Page_CuraAppointment/btn_BookAppointment""))",Chrome 125.0.0.0,,,29-05-2024 20:57:41,29-05-2024 20:57:41,0.724s,PASSED
"takeFullPageScreenshotAsCheckpoint(""Review Appoitment"")",Chrome 125.0.0.0,,,29-05-2024 20:57:41,29-05-2024 20:57:44,2.625s,PASSED
"verifyTextPresent(""Appointment Confirmation"", false)",Chrome 125.0.0.0,,,29-05-2024 20:57:44,29-05-2024 20:57:44,0.281s,PASSED
"comment(""Then he should be able to book a new appointment"")",Chrome 125.0.0.0,,,29-05-2024 20:57:44,29-05-2024 20:57:44,0.001s,PASSED
"verifyMatch(""Hongkong CURA Healthcare Center"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_Facility"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:57:44,29-05-2024 20:57:45,0.297s,PASSED
"verifyMatch(""Yes"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_HospitalReadmission"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:57:45,29-05-2024 20:57:45,0.296s,PASSED
"verifyMatch(""Medicaid"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_Program"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:57:45,29-05-2024 20:57:45,0.302s,PASSED
"verifyMatch(""27/12/2016"", getText(findTestObject(""Page_AppointmentConfirmation/lbl_VisitDate"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:57:45,29-05-2024 20:57:46,0.317s,PASSED
"verifyMatch(""Please make appointment as soon as possible."", getText(findTestObject(""Page_AppointmentConfirmation/lbl_Comment"")), false)",Chrome 125.0.0.0,,,29-05-2024 20:57:46,29-05-2024 20:57:46,0.307s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 20:57:46,29-05-2024 20:57:46,0.282s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 125.0.0.0,,,29-05-2024 20:57:46,29-05-2024 20:57:47,0.593s,PASSED
